,Date:,Time:,Location:,Operator:,Flight #:,Route:,AC  Type:,Registration:,cn / ln:,Aboard:,Fatalities:,Ground:,Summary:
ACCIDENT DETAILS,"January 21, 1932",?,"Colvin Park, Ilinois",Northwest Airways,?,"Rockford - Chicago, IL - Madison, WI",Stinson SM-2A,?,?,1 (passengers:0 crew:1),1 (passengers:0 crew:1),0,Crashed in heavy fog a few minutes after taking off from Rockford. A witness said the plane caught fire after an explosion in mid air and crashed.
ACCIDENT DETAILS,"January 29, 1932",c 16:00,"Lebec, California",Century Pacific Lines,?,"San Francisco - Bakersfield - Los Angeles, CA",Stinson SM-6000B,?,5034,8 (passengers:7 crew:1),8 (passengers:7 crew:1),0,"Crashed into a canyon, in mountains, during a blizzard. Wreckage found a week later."
ACCIDENT DETAILS,"February 01, 1932",?,"Off Miami, Florida",Bimini Airways,?,Miami - Bimini,Fairchild,?,?,5 (passengers:4 crew:1),5 (passengers:4 crew:1),0,Disappeared while en route on a 45 minute flight.
ACCIDENT DETAILS,"February 02, 1932",?,"Marcellus, Michigan",Transamerican Airlines,?,Chicago - Kalamazoo,Stearman C-3MB,?,?,1 (passengers:0 crew:1),1 (passengers:0 crew:1),0,Mail plane crashed.
ACCIDENT DETAILS,"February 02, 1932",?,"Rio Vista, California",Boeing Air Transport,?,?,Boeing 40,NC7470,?,2 (passengers:0 crew:2),1 (passengers:0 crew:1),0,Struck an irrigation ditch and caught fire during landing.
ACCIDENT DETAILS,"February 27, 1932",?,"Off Setiba, Brazil",Aeropostale,?,?,Latecoere 28,F-AJOX,?,3 (passengers:? crew:?),3 (passengers:? crew:?),0,?
ACCIDENT DETAILS,"March 08, 1932",02:00,"Saint Louis, Illinois",Century Air Lines,?,Training,Stinson SM-6000B,?,?,5 (passengers:0 crew:5),2 (passengers:0 crew:2),0,"Crashed into a skeleton of an old windmill, 500 yards from the edge of the field while practicing night landings."
ACCIDENT DETAILS,"March 19, 1932",c 19:30,"Calimesa, California",American Airways,?,"Phoenix, AZ - Los Angeles, CA",Fokker F-10A,NC-652E,1027,7 (passengers:5 crew:2),7 (passengers:5 crew:2),0,Crashed into an orchard after striking power lines in heavy fog.
ACCIDENT DETAILS,"March 21, 1932",?,"Steubenville, Ohio",Trans Continental and Western Air,?,Columbus - McKeesport,Northrop Alpha,?,?,1 (passengers:0 crew:1),1 (passengers:0 crew:1),0,The mail plane pilot drowned when his parachute tangled in the fuselage and he was dragged into the Ohio River after his plane crashed.
ACCIDENT DETAILS,"March 29, 1932",?,Syria,Air Orient,?,?,Farman F-190,F-AJDP F-AJDP,?,3 (passengers:? crew:?),3 (passengers:? crew:?),0,?
ACCIDENT DETAILS,"March 31, 1932",?,"Bedford, Ohio",National Air Transport,?,?,Boeing 95,NC191E,?,1 (passengers:0 crew:1),1 (passengers:0 crew:1),0,?
ACCIDENT DETAILS,"April 21, 1932",?,"Fort Wayne, Indiana",Transamerica Airlines,?,?,Stearman C-3MB,?,?,1 (passengers:0 crew:1),1 (passengers:0 crew:1),0,?
ACCIDENT DETAILS,"May 03, 1932",?,"Portland, Oregon",Varney Air Lines,?,?,Boeing 40,NC830M,?,2 (passengers:? crew:?),2 (passengers:? crew:?),0,?
ACCIDENT DETAILS,"May 16, 1932",?,"Burbank, California",Pacific Air Transport,?,San Diego - Burbank - Oakland,Boeing 40,NC5589,?,3 (passengers:0 crew:3),3 (passengers:0 crew:3),0,Crashed and burned in fog while attempting to land at Burbank Airport. Both pilots and the radio man were killed.
