,Date:,Time:,Location:,Operator:,Flight #:,Route:,AC  Type:,Registration:,cn / ln:,Aboard:,Fatalities:,Ground:,Summary:
ACCIDENT DETAILS,"January 02, 1952",?,"Andapa, Madagascar",Air France,?,?,Junkers JU-52/3m,F-BAMQ,106,11 (passengers:8 crew:3),6 (passengers:? crew:?),0,?
ACCIDENT DETAILS,"January 10, 1952",19:15,"Com Edno, Ireland",Aer Lingus,?,Northolt - Dublin,Douglas DC-3,EI-AFL,16699/33447,23 (passengers:20 crew:3),23 (passengers:20 crew:3),0,The aircraft lost control in severe turbulence and downdrafts and crashed in a soft peat bog 1 mile east of Llyn Gwynant. The encountering of strong down-currents of air on the lee side of Snowdon which forced the aircraft down into an area of strong turbulence where control was lost.
ACCIDENT DETAILS,"January 19, 1952",01:38,"Off Sandspit, BC, Canada",Northwest Orient Airlines,324,Tokyo - Elmendorf AFB,Douglas DC-4,N45342,27279,43 (passengers:40 crew:3),36 (passengers:33 crew:3),0,"The crew chose to divert to Sandpit after the No. 1 engine was shut down. The aircraft crashed into the Pacific Ocean one mile offshore after overshooting the runway during the emergency landing. A nose gear retraction difficulty in connection with an icing condition or a power loss, which made the aircraft incapable of maintaining flight. Most of the fatalities were from exposure to the frigid water."
ACCIDENT DETAILS,"January 22, 1952",15:43,"Elizabeth, New Jersey",American Airlines,6780,Buffalo - Newark,Convair CV-240-0,N94229,054,23 (passengers:20 crew:3),23 (passengers:20 crew:3),7,"The aircraft crashed into an apartment house during its approach, 3 miles short and right of the runway. The plane crashed while level laterally but in a steep descending attitude. Most likely cause was carburetor icing. Official cause unknown."
ACCIDENT DETAILS,"February 04, 1952",?,"Kikwit, Belgian Congo",Sabena,?,Costermansville - Leopoldville,Douglas DC-3,OO-CBN,13450,15 (passengers:11 crew:4),15 (passengers:11 crew:4),0,In-flight failure of a propeller which damaged control cables causing loss of control of the aircraft. The control cables in the fuselage were sheared by the right propeller which broke loose following a shaft failure caused by the sudden stopping of the engine caused by fatigue failure of No. 6 piston lug.
ACCIDENT DETAILS,"February 07, 1952",?,"Kaneko, Japan",Military - U.S. Air Force,?,?,Boeing B-29,?,?,13 (passengers:? crew:13),13 (passengers:? crew:13),5,The military plane crashed into several houses in a snowstorm after taking from Yokota AFB and hitting power lines.
ACCIDENT DETAILS,"February 11, 1952",00:20,"Elizabeth, New Jersey",National Airlines,101,"Newark, NJ - Miami, FL",Douglas DC-6,N90891,43055/37,63 (passengers:59 crew:4),29 (passengers:26 crew:3),4,"The aircraft crashed into an apartment complex shortly after taking off. The last message from the pilot was ""I've lost an engine and am returning to field."" Reversal in flight of No. 3 propeller and subsequent feathering of No. 4 propeller at too low an altitude to effect a recovery."
ACCIDENT DETAILS,"February 16, 1952",17:34Z,"Near Burgio, Italy",Hunting Air Travel,?,Nice - Malta,Vickers 614 Viking 1,G-AHPI,142,31 (passengers:26 crew:5),31 (passengers:26 crew:5),0,Hit the north slope of La Cinta mountain range while en route. Pilot did not maintain a safe altitude. The pilots ignorance of wind conditions which allowed the aircraft to drift 3 degrees off course.
ACCIDENT DETAILS,"February 19, 1952",02:23,"Nagpur, India",Deccan Airways,?,Madras - Nagpur - Delhi,Douglas DC-3,VT-AXE,19160,16 (passengers:12 crew:4),3 (passengers:1 crew:2),0,"Banked left and struck trees 2,000 ft. short of the runway. Pilot error. The pilot misjudged the approach, undershot and hit the tops trees. A contributing factor was the setting of the pilot's altimeter to QNH, rather than the customary QFE during the final approach."
ACCIDENT DETAILS,"February 19, 1952",?,"Near Yaounde, Cameroon",STAAP,?,?,Consolidated 32 Liberator II,F-BEFX,12,9 (passengers:5 crew:4),9 (passengers:5 crew:4),0,?
